Position	Percent G+C 1 .. 1996291
125	0.460
175	0.488
225	0.444
275	0.440
325	0.448
375	0.444
425	0.452
475	0.476
525	0.500
575	0.480
625	0.492
675	0.468
725	0.444
775	0.380
825	0.380
875	0.376
925	0.364
975	0.376
1025	0.408
1075	0.412
1125	0.396
1175	0.404
1225	0.428
1275	0.444
1325	0.444
1375	0.448
1425	0.456
1475	0.456
1525	0.456
1575	0.480
1625	0.496
1675	0.500
1725	0.492
1775	0.500
1825	0.496
1875	0.508
1925	0.504
1975	0.512
2025	0.484
2075	0.480
2125	0.492
2175	0.516
2225	0.512
2275	0.520
2325	0.480
2375	0.444
2425	0.448
2475	0.444
2525	0.432
2575	0.456
2625	0.472
2675	0.456
2725	0.436
2775	0.472
2825	0.496
2875	0.488
2925	0.492
2975	0.492
3025	0.472
3075	0.472
3125	0.500
3175	0.496
3225	0.540
3275	0.544
3325	0.556
3375	0.540
3425	0.536
3475	0.544
3525	0.548
3575	0.528
3625	0.536
3675	0.552
3725	0.532
3775	0.528
3825	0.520
3875	0.516
3925	0.520
3975	0.516
4025	0.504
4075	0.504
4125	0.476
4175	0.428
4225	0.396
4275	0.392
4325	0.388
4375	0.404
4425	0.420
4475	0.412
4525	0.444
4575	0.448
4625	0.480
4675	0.520
4725	0.560
4775	0.544
4825	0.564
4875	0.524
4925	0.496
4975	0.488
5025	0.476
5075	0.452
5125	0.456
5175	0.468
5225	0.460
5275	0.484
5325	0.504
5375	0.512
5425	0.496
5475	0.520
5525	0.492
5575	0.484
5625	0.476
5675	0.472
5725	0.464
5775	0.428
5825	0.416
5875	0.432
5925	0.432
5975	0.404
6025	0.432
6075	0.432
6125	0.420
6175	0.408
6225	0.424
6275	0.440
6325	0.448
6375	0.452
6425	0.456
6475	0.452
6525	0.444
6575	0.420
6625	0.424
6675	0.452
6725	0.468
6775	0.456
6825	0.464
6875	0.472
6925	0.464
6975	0.440
7025	0.452
7075	0.476
7125	0.456
7175	0.444
7225	0.448
7275	0.452
7325	0.444
7375	0.428
7425	0.436
7475	0.432
7525	0.408
7575	0.416
7625	0.428
7675	0.412
7725	0.412
7775	0.440
7825	0.436
7875	0.452
7925	0.488
7975	0.508
8025	0.500
8075	0.492
8125	0.512
8175	0.476
8225	0.472
8275	0.496
8325	0.496
8375	0.460
8425	0.452
8475	0.448
8525	0.416
8575	0.408
8625	0.420
8675	0.432
8725	0.408
8775	0.404
8825	0.428
8875	0.424
8925	0.424
8975	0.444
9025	0.476
9075	0.480
9125	0.480
9175	0.488
9225	0.488
9275	0.488
9325	0.484
9375	0.480
9425	0.496
9475	0.532
9525	0.520
9575	0.492
9625	0.508
9675	0.512
9725	0.468
9775	0.460
9825	0.484
9875	0.484
9925	0.472
9975	0.492
10025	0.512
10075	0.492
10125	0.492
10175	0.484
10225	0.472
10275	0.464
10325	0.480
10375	0.472
10425	0.468
10475	0.460
10525	0.424
10575	0.412
10625	0.396
10675	0.392
10725	0.372
10775	0.416
10825	0.448
10875	0.480
10925	0.516
10975	0.552
11025	0.544
11075	0.540
11125	0.520
11175	0.488
11225	0.492
11275	0.496
11325	0.460
11375	0.464
11425	0.464
11475	0.476
11525	0.460
11575	0.468
11625	0.472
11675	0.492
11725	0.476
11775	0.472
11825	0.476
11875	0.468
11925	0.444
11975	0.424
12025	0.404
12075	0.420
12125	0.416
12175	0.420
12225	0.428
12275	0.420
12325	0.404
12375	0.412
12425	0.420
12475	0.440
12525	0.436
12575	0.456
12625	0.424
12675	0.416
12725	0.424
12775	0.460
12825	0.448
12875	0.480
12925	0.468
12975	0.448
13025	0.428
13075	0.404
