Position	Percent G+C 1 .. 10696
125	0.180
175	0.120
225	0.128
275	0.120
325	0.088
375	0.084
425	0.096
475	0.088
525	0.088
575	0.080
625	0.088
675	0.104
725	0.104
775	0.112
825	0.116
875	0.120
925	0.096
975	0.084
1025	0.100
1075	0.108
1125	0.108
1175	0.152
1225	0.168
1275	0.164
1325	0.196
1375	0.200
1425	0.180
1475	0.188
1525	0.208
1575	0.164
1625	0.160
1675	0.148
1725	0.164
1775	0.156
1825	0.164
1875	0.164
1925	0.156
1975	0.124
2025	0.128
2075	0.164
2125	0.196
2175	0.196
2225	0.216
2275	0.244
2325	0.256
2375	0.300
2425	0.380
2475	0.444
2525	0.476
2575	0.516
2625	0.528
2675	0.524
2725	0.540
2775	0.524
2825	0.508
2875	0.524
2925	0.528
2975	0.492
3025	0.516
3075	0.520
3125	0.464
3175	0.464
3225	0.468
3275	0.472
3325	0.472
3375	0.512
3425	0.520
3475	0.524
3525	0.504
3575	0.488
3625	0.480
3675	0.464
3725	0.476
3775	0.484
3825	0.516
3875	0.512
3925	0.536
3975	0.540
4025	0.516
4075	0.484
4125	0.468
4175	0.460
4225	0.472
4275	0.468
4325	0.472
4375	0.476
4425	0.452
4475	0.444
4525	0.468
4575	0.476
4625	0.492
4675	0.528
4725	0.520
4775	0.512
4825	0.516
4875	0.500
4925	0.500
4975	0.512
5025	0.520
5075	0.536
5125	0.532
5175	0.500
5225	0.484
5275	0.492
5325	0.468
5375	0.484
5425	0.496
5475	0.480
5525	0.476
5575	0.476
5625	0.468
5675	0.472
5725	0.500
5775	0.492
5825	0.512
5875	0.520
5925	0.532
5975	0.548
6025	0.552
6075	0.568
6125	0.584
6175	0.572
6225	0.536
6275	0.528
6325	0.504
6375	0.500
6425	0.472
6475	0.480
6525	0.488
6575	0.484
6625	0.476
6675	0.488
6725	0.512
6775	0.512
6825	0.512
6875	0.504
6925	0.504
6975	0.492
7025	0.492
7075	0.500
7125	0.504
7175	0.504
7225	0.496
7275	0.512
7325	0.500
7375	0.484
7425	0.484
7475	0.484
7525	0.472
7575	0.476
7625	0.500
7675	0.524
7725	0.532
7775	0.548
7825	0.552
7875	0.540
7925	0.548
7975	0.556
8025	0.528
8075	0.544
8125	0.556
8175	0.536
8225	0.500
8275	0.464
8325	0.428
8375	0.396
8425	0.336
8475	0.284
8525	0.248
8575	0.208
8625	0.180
8675	0.176
8725	0.184
8775	0.196
8825	0.160
8875	0.140
8925	0.132
8975	0.120
9025	0.124
9075	0.168
9125	0.152
9175	0.160
9225	0.160
9275	0.152
9325	0.136
9375	0.156
9425	0.140
9475	0.132
9525	0.152
9575	0.148
9625	0.148
9675	0.168
9725	0.188
9775	0.176
9825	0.172
9875	0.176
9925	0.144
9975	0.132
10025	0.152
10075	0.148
10125	0.116
10175	0.144
10225	0.136
10275	0.112
10325	0.112
10375	0.148
10425	0.144
10475	0.156
10525	0.148
