Position	Percent G+C 1 .. 1996291
500	0.443
600	0.435
700	0.430
800	0.422
900	0.433
1000	0.428
1100	0.426
1200	0.429
1300	0.431
1400	0.452
1500	0.462
1600	0.472
1700	0.475
1800	0.494
1900	0.490
2000	0.485
2100	0.490
2200	0.478
2300	0.481
2400	0.477
2500	0.474
2600	0.471
2700	0.476
2800	0.473
2900	0.480
3000	0.500
3100	0.503
3200	0.513
3300	0.519
3400	0.523
3500	0.523
3600	0.533
3700	0.527
3800	0.509
3900	0.493
4000	0.483
4100	0.464
4200	0.465
4300	0.472
4400	0.471
4500	0.471
4600	0.464
4700	0.463
4800	0.476
4900	0.487
5000	0.493
5100	0.507
5200	0.501
5300	0.483
5400	0.470
5500	0.469
5600	0.462
5700	0.459
5800	0.452
5900	0.448
6000	0.445
6100	0.436
6200	0.429
6300	0.437
6400	0.443
6500	0.442
6600	0.446
6700	0.452
6800	0.454
6900	0.451
7000	0.445
7100	0.447
7200	0.450
7300	0.439
7400	0.438
7500	0.441
7600	0.450
7700	0.447
7800	0.453
7900	0.461
8000	0.463
8100	0.460
8200	0.458
8300	0.462
8400	0.454
8500	0.454
8600	0.443
8700	0.453
8800	0.449
8900	0.446
9000	0.451
9100	0.468
9200	0.471
9300	0.480
9400	0.486
9500	0.488
9600	0.495
9700	0.488
9800	0.491
9900	0.489
10000	0.489
10100	0.473
10200	0.467
10300	0.454
10400	0.454
10500	0.460
10600	0.464
10700	0.470
10800	0.466
10900	0.470
11000	0.465
11100	0.473
11200	0.479
11300	0.490
11400	0.493
11500	0.481
11600	0.467
11700	0.456
11800	0.455
11900	0.439
12000	0.442
12100	0.442
12200	0.439
12300	0.425
12400	0.430
12500	0.433
12600	0.435
12700	0.428
12800	0.416
12900	0.422
13000	0.428
13100	0.426
13200	0.433
13300	0.443
13400	0.442
13500	0.438
13600	0.450
13700	0.457
13800	0.462
13900	0.453
14000	0.441
14100	0.419
14200	0.427
14300	0.428
14400	0.429
14500	0.436
14600	0.430
14700	0.442
14800	0.455
14900	0.481
15000	0.494
15100	0.517
15200	0.515
15300	0.515
15400	0.505
15500	0.513
15600	0.508
15700	0.500
15800	0.494
15900	0.480
16000	0.469
16100	0.460
16200	0.454
16300	0.449
16400	0.452
16500	0.436
16600	0.441
16700	0.447
16800	0.445
16900	0.456
17000	0.461
17100	0.475
17200	0.480
17300	0.483
17400	0.495
17500	0.489
17600	0.486
17700	0.479
17800	0.482
17900	0.475
18000	0.477
18100	0.475
18200	0.472
18300	0.471
18400	0.462
18500	0.474
18600	0.486
18700	0.500
18800	0.505
18900	0.503
19000	0.500
19100	0.503
19200	0.501
19300	0.507
19400	0.503
19500	0.500
19600	0.487
19700	0.479
19800	0.471
19900	0.468
20000	0.469
20100	0.460
20200	0.461
20300	0.456
20400	0.469
20500	0.477
20600	0.484
20700	0.477
20800	0.484
20900	0.483
21000	0.484
21100	0.486
21200	0.494
21300	0.496
21400	0.490
21500	0.484
21600	0.481
21700	0.490
21800	0.488
21900	0.493
22000	0.484
22100	0.477
22200	0.460
22300	0.458
22400	0.448
22500	0.447
22600	0.436
22700	0.434
22800	0.429
22900	0.421
23000	0.427
23100	0.442
23200	0.446
23300	0.456
23400	0.460
23500	0.466
23600	0.486
23700	0.488
23800	0.495
23900	0.505
24000	0.512
24100	0.512
24200	0.515
24300	0.505
24400	0.523
24500	0.516
24600	0.514
24700	0.513
24800	0.520
24900	0.530
25000	0.526
25100	0.521
25200	0.529
25300	0.532
25400	0.522
25500	0.525
25600	0.513
25700	0.504
25800	0.494
25900	0.474
26000	0.476
26100	0.478
26200	0.474
26300	0.474
26400	0.469
26500	0.470
26600	0.473
26700	0.476
26800	0.473
