Position	Percent G+C 1 .. 4856139
125	0.284
175	0.208
225	0.164
275	0.172
325	0.196
375	0.244
425	0.268
475	0.280
525	0.260
575	0.264
625	0.236
675	0.240
725	0.260
775	0.292
825	0.308
875	0.288
925	0.320
975	0.324
1025	0.292
1075	0.268
1125	0.272
1175	0.252
1225	0.208
1275	0.244
1325	0.248
1375	0.264
1425	0.276
1475	0.304
1525	0.308
1575	0.328
1625	0.368
1675	0.376
1725	0.384
1775	0.376
1825	0.360
1875	0.320
1925	0.316
1975	0.300
2025	0.272
2075	0.236
2125	0.240
2175	0.228
2225	0.232
2275	0.228
2325	0.232
2375	0.248
2425	0.256
2475	0.256
2525	0.268
2575	0.292
2625	0.264
2675	0.264
2725	0.296
2775	0.284
2825	0.296
2875	0.312
2925	0.300
2975	0.240
3025	0.252
3075	0.260
3125	0.256
3175	0.272
3225	0.308
3275	0.308
3325	0.288
3375	0.248
3425	0.228
3475	0.204
3525	0.208
3575	0.232
3625	0.312
3675	0.340
3725	0.372
3775	0.416
3825	0.372
3875	0.308
3925	0.292
3975	0.264
4025	0.220
4075	0.240
4125	0.252
4175	0.260
4225	0.304
4275	0.320
4325	0.356
4375	0.384
4425	0.368
4475	0.360
4525	0.368
4575	0.372
4625	0.384
4675	0.364
4725	0.340
4775	0.300
4825	0.256
4875	0.196
4925	0.184
4975	0.164
5025	0.176
5075	0.176
5125	0.188
5175	0.204
5225	0.216
5275	0.180
5325	0.156
5375	0.168
5425	0.156
5475	0.148
5525	0.168
5575	0.188
5625	0.168
5675	0.180
5725	0.164
5775	0.172
5825	0.180
5875	0.172
5925	0.168
5975	0.176
6025	0.176
6075	0.148
6125	0.160
6175	0.152
6225	0.168
6275	0.164
6325	0.188
6375	0.192
6425	0.216
6475	0.204
6525	0.216
6575	0.188
6625	0.168
6675	0.136
6725	0.140
6775	0.112
6825	0.128
6875	0.140
6925	0.172
6975	0.172
7025	0.184
7075	0.192
7125	0.188
7175	0.172
7225	0.176
7275	0.208
7325	0.196
7375	0.180
7425	0.196
7475	0.200
7525	0.164
7575	0.180
7625	0.176
7675	0.168
7725	0.204
7775	0.268
7825	0.272
7875	0.296
7925	0.300
7975	0.264
8025	0.216
8075	0.232
8125	0.256
8175	0.264
8225	0.268
8275	0.256
8325	0.232
8375	0.216
8425	0.216
8475	0.208
8525	0.244
8575	0.260
8625	0.292
8675	0.304
8725	0.348
8775	0.340
8825	0.348
8875	0.340
8925	0.308
8975	0.260
9025	0.260
9075	0.216
9125	0.176
9175	0.192
9225	0.212
9275	0.200
9325	0.228
9375	0.252
9425	0.260
9475	0.256
9525	0.272
9575	0.260
9625	0.244
9675	0.236
9725	0.224
9775	0.212
9825	0.216
9875	0.212
9925	0.212
9975	0.188
10025	0.180
10075	0.184
10125	0.200
10175	0.188
10225	0.228
10275	0.216
10325	0.220
10375	0.224
10425	0.228
10475	0.204
10525	0.212
10575	0.220
10625	0.184
10675	0.176
10725	0.172
10775	0.196
10825	0.192
10875	0.224
10925	0.268
10975	0.284
11025	0.268
11075	0.272
11125	0.272
11175	0.232
11225	0.224
11275	0.220
11325	0.228
11375	0.236
11425	0.260
11475	0.268
11525	0.292
11575	0.272
11625	0.260
11675	0.244
11725	0.228
11775	0.204
11825	0.192
11875	0.180
11925	0.204
11975	0.236
12025	0.228
12075	0.240
12125	0.272
12175	0.236
12225	0.216
12275	0.216
12325	0.224
12375	0.208
12425	0.236
12475	0.236
12525	0.236
12575	0.212
12625	0.176
12675	0.144
12725	0.148
12775	0.156
12825	0.172
12875	0.208
12925	0.248
12975	0.236
13025	0.236
13075	0.240
