Position	Percent G+C 1 .. 17103
125	0.056
175	0.068
225	0.056
275	0.048
325	0.060
375	0.068
425	0.076
475	0.096
525	0.120
575	0.140
625	0.152
675	0.168
725	0.152
775	0.184
825	0.172
875	0.172
925	0.156
975	0.176
1025	0.160
1075	0.156
1125	0.160
1175	0.188
1225	0.208
1275	0.180
1325	0.192
1375	0.168
1425	0.160
1475	0.156
1525	0.180
1575	0.208
1625	0.232
1675	0.228
1725	0.212
1775	0.228
1825	0.244
1875	0.276
1925	0.344
1975	0.388
2025	0.440
2075	0.456
2125	0.472
2175	0.444
2225	0.444
2275	0.476
2325	0.500
2375	0.492
2425	0.532
2475	0.556
2525	0.520
2575	0.512
2625	0.548
2675	0.536
2725	0.548
2775	0.576
2825	0.564
2875	0.540
2925	0.524
2975	0.512
3025	0.452
3075	0.436
3125	0.404
3175	0.408
3225	0.388
3275	0.404
3325	0.408
3375	0.404
3425	0.408
3475	0.416
3525	0.440
3575	0.444
3625	0.480
3675	0.476
3725	0.492
3775	0.492
3825	0.504
3875	0.488
3925	0.484
3975	0.492
4025	0.476
4075	0.484
4125	0.516
4175	0.536
4225	0.520
4275	0.536
4325	0.532
4375	0.528
4425	0.528
4475	0.512
4525	0.516
4575	0.528
4625	0.532
4675	0.516
4725	0.528
4775	0.532
4825	0.528
4875	0.540
4925	0.524
4975	0.524
5025	0.512
5075	0.544
5125	0.528
5175	0.544
5225	0.556
5275	0.552
5325	0.500
5375	0.492
5425	0.504
5475	0.476
5525	0.456
5575	0.440
5625	0.436
5675	0.432
5725	0.448
5775	0.468
5825	0.508
5875	0.520
5925	0.508
5975	0.508
6025	0.524
6075	0.508
6125	0.492
6175	0.504
6225	0.508
6275	0.504
6325	0.528
6375	0.512
6425	0.496
6475	0.496
6525	0.488
6575	0.460
6625	0.484
6675	0.492
6725	0.476
6775	0.464
6825	0.468
6875	0.480
6925	0.496
6975	0.516
7025	0.548
7075	0.564
7125	0.576
7175	0.552
7225	0.516
7275	0.480
7325	0.448
7375	0.440
7425	0.456
7475	0.508
7525	0.500
7575	0.496
7625	0.492
7675	0.504
7725	0.492
7775	0.496
7825	0.520
7875	0.528
7925	0.532
7975	0.540
8025	0.580
8075	0.580
8125	0.580
8175	0.584
8225	0.580
8275	0.572
8325	0.548
8375	0.544
8425	0.540
8475	0.500
8525	0.468
8575	0.464
8625	0.444
8675	0.436
8725	0.468
8775	0.484
8825	0.524
8875	0.524
8925	0.516
8975	0.524
9025	0.532
9075	0.512
9125	0.528
9175	0.492
9225	0.468
9275	0.436
9325	0.452
9375	0.444
9425	0.464
9475	0.468
9525	0.500
9575	0.472
9625	0.464
9675	0.464
9725	0.472
9775	0.444
9825	0.448
9875	0.444
9925	0.428
9975	0.412
10025	0.436
10075	0.432
10125	0.448
10175	0.468
10225	0.472
10275	0.456
10325	0.496
10375	0.504
10425	0.532
10475	0.536
10525	0.532
10575	0.496
10625	0.472
10675	0.436
10725	0.452
10775	0.452
10825	0.424
10875	0.444
10925	0.456
10975	0.432
11025	0.444
11075	0.476
11125	0.468
11175	0.456
11225	0.460
11275	0.464
11325	0.456
11375	0.436
11425	0.408
11475	0.420
11525	0.432
11575	0.424
11625	0.448
11675	0.512
11725	0.520
11775	0.484
11825	0.500
11875	0.504
11925	0.464
11975	0.432
12025	0.452
12075	0.456
12125	0.444
12175	0.464
12225	0.452
12275	0.444
12325	0.440
12375	0.448
12425	0.448
12475	0.508
12525	0.524
12575	0.536
12625	0.556
12675	0.568
12725	0.540
12775	0.528
12825	0.536
12875	0.520
12925	0.508
12975	0.500
13025	0.480
13075	0.464
13125	0.488
13175	0.476
13225	0.488
13275	0.496
13325	0.484
13375	0.428
13425	0.424
13475	0.392
13525	0.376
13575	0.364
13625	0.376
13675	0.400
13725	0.448
13775	0.488
13825	0.528
13875	0.532
13925	0.512
13975	0.472
14025	0.424
14075	0.400
14125	0.380
14175	0.388
14225	0.408
14275	0.436
14325	0.444
14375	0.464
14425	0.444
14475	0.424
14525	0.424
14575	0.440
14625	0.432
14675	0.392
14725	0.336
14775	0.276
14825	0.184
14875	0.156
14925	0.188
14975	0.244
15025	0.260
15075	0.276
15125	0.284
15175	0.244
15225	0.220
15275	0.212
15325	0.216
15375	0.180
15425	0.172
15475	0.152
15525	0.124
15575	0.100
15625	0.104
15675	0.092
15725	0.092
15775	0.136
15825	0.180
15875	0.172
15925	0.196
15975	0.188
16025	0.164
16075	0.124
16125	0.132
16175	0.116
16225	0.124
16275	0.140
16325	0.136
16375	0.120
16425	0.140
16475	0.124
16525	0.096
16575	0.112
16625	0.108
16675	0.100
16725	0.104
16775	0.116
16825	0.116
16875	0.132
16925	0.120
16975	0.104
