Position	Percent G+C 1 .. 3884
125	0.052
175	0.060
225	0.064
275	0.068
325	0.072
375	0.068
425	0.064
475	0.064
525	0.068
575	0.068
625	0.064
675	0.064
725	0.064
775	0.056
825	0.048
875	0.044
925	0.040
975	0.036
1025	0.048
1075	0.048
1125	0.068
1175	0.088
1225	0.108
1275	0.116
1325	0.136
1375	0.136
1425	0.136
1475	0.136
1525	0.128
1575	0.116
1625	0.112
1675	0.092
1725	0.080
1775	0.056
1825	0.048
1875	0.040
1925	0.040
1975	0.044
2025	0.056
2075	0.060
2125	0.052
2175	0.068
2225	0.084
2275	0.076
2325	0.076
2375	0.076
2425	0.088
2475	0.064
2525	0.076
2575	0.076
2625	0.088
2675	0.064
2725	0.056
2775	0.048
2825	0.040
2875	0.024
2925	0.032
2975	0.056
3025	0.104
3075	0.144
3125	0.168
3175	0.160
3225	0.164
3275	0.128
3325	0.104
3375	0.120
3425	0.116
3475	0.120
3525	0.156
3575	0.168
3625	0.172
3675	0.192
3725	0.176
